,orthography,phonology,Class,gender,gender_numeric
529,Abrichtung,&prIxtUN,N,v.,2.0
530,Abrieb,&prip,N,m.,1.0
531,abriebfest,&pripfEst,A,,
532,abriegeln,&prig@ln,V,,
533,Abriegelung,&prig@lUN,N,v.,2.0
534,Abrieglung,&priglUN,N,v.,2.0
535,abringen,&prIN@n,V,,
536,Abriss,&prIs,N,m.,1.0
537,abrollen,&prOl@n,V,,
538,abruecken,&prYk@n,V,,
539,abrufen,&pruf@n,V,,
540,Abruf,&pruf,N,m.,1.0
541,abrufbereit,&prufb@rWt,A,,
542,abrunden,&prUnd@n,V,,
543,Abrundung,&prUndUN,N,v.,2.0
544,abrupfen,&prU+@n,V,,
545,abrupt,&prUpt,A,,
546,abruesten,&prYst@n,V,,
547,Abruestung,&prYstUN,N,v.,2.0
548,Abruestungskonferenz,&prYstUNskOnferEn=,N,v.,2.0
549,abrutschen,&prUJ@n,V,,
550,absacken,&pz&k@n,V,,
551,absagen,&pzag@n,V,,
552,absaegen,&pz)g@n,V,,
553,Absage,&pzag@,N,v.,2.0
554,absahnen,&pzan@n,V,,
555,Absatz,&pz&=,N,m.,1.0
556,Absatzgebiet,&pz&=g@bit,N,o.,3.0
557,absatzweise,&pz&=vWz@,ADV,,
558,absaufen,&pzBf@n,V,,
559,abschaben,&pSab@n,V,,
560,abschaffen,&pS&f@n,V,,
561,Abschaffung,&pS&fUN,N,v.,2.0
562,abschalten,&pS<@n,V,,
563,abschatten,&pS&t@n,V,,
564,abschattieren,&pS&tir@n,V,,
565,Abschattung,&pS&tUN,N,v.,2.0
566,abschaetzen,&pSE=@n,V,,
567,abschaetzig,&pSE=Ix,A,,
568,Abschaum,&pSBm,N,m.,1.0
569,abscheiden,&pSWd@n,V,,
570,abscheren,&pSer@n,V,,
571,Abscheu,&pSX,N,m.,1.0
572,abscheuerregend,&pSXErreg@nt,A,,
573,abscheulich,&pSXlIx,A,,
574,Abscheulichkeit,&pSXlIxkWt,N,v.,2.0
575,abschicken,&pSIk@n,V,,
576,abschieben,&pSib@n,V,,
577,Abschiebung,&pSibUN,N,v.,2.0
578,Abschied,&pSit,N,m.,1.0
579,Abschiedsbesuch,&pSi=b@zux,N,m.,1.0
580,Abschiedsbrief,&pSi=brif,N,m.,1.0
581,Abschiedstag,&pSi=tak,N,m.,1.0
582,abschiessen,&pSis@n,V,,
583,abschilfern,&pSIlf@rn,V,,
584,Abschilferung,&pSIlf@rUN,N,v.,2.0
585,abschinden,&pSInd@n,V,,
586,abschirmen,&pSIrm@n,V,,
587,Abschirmung,&pSIrmUN,N,v.,2.0
588,abschirren,&pSIr@n,V,,
589,abschlachten,&pSl&xt@n,V,,
590,Abschlachtung,&pSl&xtUN,N,v.,2.0
591,abschlaffen,&pSl&f@n,V,,
592,abschlagen,&pSlag@n,V,,
593,Abschlag,&pSlak,N,m.,1.0
594,abschlaegig,&pSl)gIx,A,,
595,abschlaeglich,&pSl)klIx,A,,
596,Abschlagszahlung,&pSlaks=alUN,N,v.,2.0
597,abschlaemmen,&pSlEm@n,V,,
598,abschleifen,&pSlWf@n,V,,
599,abschleppen,&pSlEp@n,V,,
600,Abschleppdienst,&pSlEpdinst,N,m.,1.0
601,abschliessen,&pSlis@n,V,,
602,Abschluss,&pSlUs,N,m.,1.0
603,Abschlussexamen,&pSlUsEksam@n,N,o.,3.0
604,Abschlusspruefung,&pSlUspryfUN,N,v.,2.0
605,Abschlussstichtag,&pSlUsStIxtak,N,m.,1.0
606,abschmalzen,&pSm&l=@n,V,,
